username, created_at, lng, lat, text
pattyesque, Mon Apr 20 04:04:17 +0000 2020, -87.732013, 41.833585, @karafagan You’ve informed me before 
Tvelur, Mon Apr 20 04:04:17 +0000 2020, -83.947162, 39.690213, I need to order me a wig!! 
iam__Koe, Mon Apr 20 04:04:17 +0000 2020, -87.732013, 41.833585, Just killed this leg day!! https://t.co/OySScbF9ty 
Durwin_Rice, Mon Apr 20 04:04:17 +0000 2020, -94.559281, 39.100048, Because of #quintonlucaskc my 3rd district neighbors are rocking on their back porches screaming “I want a beer, An… https://t.co/VF3MojgQ6d 
Kellie_Hooker, Mon Apr 20 04:04:17 +0000 2020, -79.995359, 35.995054, Ain’t no upgrading when you goin after me 😇 
RyanCoolieSpice, Mon Apr 20 04:04:17 +0000 2020, -118.369645, 34.087010, “Amber Ice” isn’t a long enough song. I freakin love it. 
MikeZiemer, Mon Apr 20 04:04:17 +0000 2020, -96.761753, 32.819858, Brand new @guitaremojiduh out now! Full album! Drake-182! Happy 4/20.Listen to “Club Jump” with @taymoneyduh https://t.co/hsbUNOLGAt 
MorgBGreat, Mon Apr 20 04:04:17 +0000 2020, -122.330602, 47.614817, @UnoCincoUno I assumed he was some sort of bestie but probably lol 
vegasmama123, Mon Apr 20 04:04:17 +0000 2020, -115.135165, 36.060964, https://t.co/IMQmTrWpeF 
amiephotos, Mon Apr 20 04:04:17 +0000 2020, -68.984705, 45.188407, No. Nope. I’ve lost it. I’M-MY MIND IS GONE GOODBYE I CANT WITH THESE https://t.co/DZjayLoxz2 
ZubazWearer, Mon Apr 20 04:04:17 +0000 2020, -73.948775, 40.655138, @TheJordanOliver They joined twitter like yesterday, def on some ha ha shit 
UnearthedGrace, Mon Apr 20 04:04:17 +0000 2020, -83.173867, 32.678207, i forgot to watch Insecure tonight, damn 
Lukissorealius, Mon Apr 20 04:04:18 +0000 2020, -83.173867, 32.678207, We are live with our squad right now! https://t.co/udMk77oCLQ#twitch #twitchaffiliate #twitchstreamer #MusicForHope #Livestream 
